amount,oldbalanceorg,newbalanceorig,oldbalancedest,newbalancedest,isfraud,original_balance_difference,dest_balance_diff,amount_to_origin_ratio,amount_to_dest_ratio,transaction_hour,night_transaction,type_cash_out,type_debit,type_payment,type_transfer
9839.64,170136.0,160296.36,0.0,0.0,0,9839.640000000014,0.0,0.057833628193749737,9839.64,1,1,False,False,True,False
1864.28,21249.0,19384.72,0.0,0.0,0,1864.2799999999988,0.0,0.08773082352941176,1864.28,1,1,False,False,True,False
181.0,181.0,0.0,0.0,0.0,1,181.0,0.0,0.9945054945054945,181.0,1,1,False,False,False,True
181.0,181.0,0.0,21182.0,0.0,1,181.0,-21182.0,0.9945054945054945,0.008544587641032903,1,1,True,False,False,False
11668.14,41554.0,29885.86,0.0,0.0,0,11668.14,0.0,0.28078787149560824,11668.14,1,1,False,False,True,False
7817.71,53860.0,46042.29,0.0,0.0,0,7817.709999999999,0.0,0.1451460240248046,7817.71,1,1,False,False,True,False
7107.77,183195.0,176087.23,0.0,0.0,0,7107.7699999999895,0.0,0.03879871831262691,7107.77,1,1,False,False,True,False
7861.64,176087.23,168225.59,0.0,0.0,0,7861.640000000014,0.0,0.0446460277328019,7861.64,1,1,False,False,True,False
4024.36,2671.0,0.0,0.0,0.0,0,2671.0,0.0,1.506122754491018,4024.36,1,1,False,False,True,False
5337.77,41720.0,36382.23,41898.0,40348.79,0,5337.769999999997,-1549.2099999999991,0.1279396467007023,0.12739611923912267,1,1,False,True,False,False
9644.94,4465.0,0.0,10845.0,157982.12,0,4465.0,147137.12,2.159637259292432,0.889262400885119,1,1,False,True,False,False
3099.97,20771.0,17671.03,0.0,0.0,0,3099.970000000001,0.0,0.14923791642595802,3099.97,1,1,False,False,True,False
2560.74,5070.0,2509.26,0.0,0.0,0,2560.74,0.0,0.5049773220272136,2560.74,1,1,False,False,True,False
11633.76,10127.0,0.0,0.0,0.0,0,10127.0,0.0,1.1486729857819906,11633.76,1,1,False,False,True,False
4098.78,503264.0,499165.22,0.0,0.0,0,4098.780000000028,0.0,0.008144377216774462,4098.78,1,1,False,False,True,False
